frame,fps,bus,car,person,truck
478,3.04,0,26,0,0
479,3.45,0,27,0,0
480,3.32,0,26,0,0
481,3.45,0,26,0,0
482,3.41,0,26,0,0
483,3.45,0,28,0,0
484,3.46,0,27,0,0
485,3.16,0,27,0,0
486,3.48,0,26,0,0
487,3.68,0,27,0,0
488,3.22,0,27,0,0
489,2.47,0,26,0,0
490,3.13,0,27,0,0
491,2.84,0,28,0,0
492,2.97,0,28,0,0
493,3.5,0,29,0,0
494,2.79,0,28,0,0
495,3.44,0,27,0,0
496,3.26,0,29,0,0
497,3.41,0,28,0,0
498,3.24,0,28,0,0
499,3.46,0,28,0,0
500,4.01,0,28,0,0
501,3.16,0,29,0,0
502,3.16,0,30,0,0
503,1.42,0,28,0,0
504,2.8,0,27,0,0
505,3.76,0,27,0,0
506,4.23,0,28,0,0
507,3.82,0,29,0,0
508,4.0,0,27,0,0
509,4.19,0,28,0,0
510,3.69,0,26,0,0
511,2.68,0,23,0,0
512,2.56,0,25,0,0
513,3.01,0,25,0,0
514,3.59,0,23,0,0
515,3.68,0,25,0,0
516,3.41,0,23,0,0
517,3.0,0,29,0,0
518,1.78,0,27,0,0
519,1.98,0,26,0,0
520,1.63,0,27,0,0
521,1.91,0,28,0,0
522,2.25,0,27,0,0
523,1.88,0,27,0,0
524,2.31,0,28,0,0
525,2.57,0,25,0,0
526,2.24,0,26,0,0
527,2.68,0,27,0,0
528,2.56,0,27,0,0
529,2.01,0,25,0,0
530,2.8,0,24,0,0
531,2.77,0,27,0,0
532,2.86,0,27,0,0
533,2.82,0,26,0,0
534,2.99,0,27,0,0
535,2.98,0,28,0,0
536,2.89,0,28,0,0
537,2.87,0,29,0,0
538,3.01,0,25,0,0
539,2.92,0,25,0,0
540,2.99,0,25,0,0
541,3.27,0,23,0,0
542,2.83,0,24,0,0
543,2.85,0,24,0,0
544,2.69,0,27,0,0
545,2.22,0,28,0,0
546,1.99,0,24,0,0
547,2.91,0,23,0,0
548,2.84,0,26,0,0
549,2.25,0,23,0,0
550,2.43,0,24,0,0
551,2.83,0,23,0,0
552,3.03,0,23,0,0
553,2.79,0,23,0,0
554,2.88,0,24,0,0
555,2.58,0,25,0,0
556,2.51,0,23,0,0
557,3.02,0,25,0,0
558,3.29,0,25,0,0
559,2.44,0,24,0,0
560,2.86,1,26,0,0
561,2.79,1,25,0,1
562,2.99,0,26,0,1
563,3.04,0,25,0,1
564,3.15,0,27,0,1
565,3.06,0,25,0,1
566,3.02,0,26,0,1
567,3.31,0,26,0,1
568,3.14,0,27,0,1
569,2.91,0,29,0,1
570,3.02,0,29,0,1
571,2.96,0,26,0,1
572,2.46,0,26,0,1
573,2.14,0,25,0,1
574,2.85,0,24,0,1
575,2.94,0,25,0,1
576,2.9,0,25,0,1
577,2.95,0,25,0,1
578,3.1,0,24,0,1
579,3.17,0,26,0,1
580,2.94,0,26,0,1
581,2.65,0,26,0,1
582,3.1,0,27,0,1
583,2.79,0,28,0,1
584,2.62,0,28,0,1
585,3.83,0,27,0,1
586,3.98,0,26,0,1
587,4.2,0,26,0,1
588,2.45,0,26,0,1
589,3.15,0,26,0,1
590,3.21,0,26,0,1
591,3.07,0,25,0,1
592,3.22,0,25,0,1
593,3.76,0,25,0,1
594,3.63,0,25,0,0
595,3.68,0,26,0,1
596,3.41,0,25,0,1
597,3.71,0,24,0,1
598,3.84,0,25,0,1
599,2.99,0,24,0,1
600,2.61,0,24,0,1
601,2.45,0,23,0,1
602,3.22,0,23,0,1
603,2.04,0,24,0,1
604,2.49,0,22,0,1
605,2.51,0,24,0,1
606,1.94,0,25,0,1
607,3.18,0,23,0,1
608,2.92,0,23,0,1
609,3.39,0,24,0,1
610,3.2,0,24,0,1
611,2.92,0,24,0,1
612,2.77,0,22,0,1
613,3.51,0,23,0,0
614,3.75,0,24,0,0
615,3.54,0,24,0,0
616,3.39,0,24,0,0
617,3.31,0,24,0,0
618,3.43,0,23,0,0
619,3.85,0,23,0,0
620,4.0,0,21,0,1
621,3.59,0,21,0,1
622,4.18,0,21,0,0
623,3.48,0,21,0,0
624,3.29,0,22,0,0
625,3.17,0,22,0,0
626,3.46,0,22,0,0
